category	ID	term	count	gene	logFC	adj_pval	zscore
KEGG	KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	61	ENSRNOG00000008759/ENSRNOG00000014504/ENSRNOG00000014378/ENSRNOG00000034164/ENSRNOG00000020872/ENSRNOG00000004649/ENSRNOG00000015945/ENSRNOG00000002227/ENSRNOG00000015068/ENSRNOG00000038540/ENSRNOG00000053550/ENSRNOG00000019728/ENSRNOG00000016069/ENSRNOG00000005906/ENSRNOG00000016451/ENSRNOG00000033215/ENSRNOG00000047647/ENSRNOG00000010278/ENSRNOG00000057451/ENSRNOG00000018414/ENSRNOG00000021199	-1.800458988	0.011365077	0
KEGG	KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	20	ENSRNOG00000004649/ENSRNOG00000066773/ENSRNOG00000060246/ENSRNOG00000033215/ENSRNOG00000010283/ENSRNOG00000010278/ENSRNOG00000026762/ENSRNOG00000032708/ENSRNOG00000049491	-2.022055128	0.011834547	0
KEGG	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	35	ENSRNOG00000018740/ENSRNOG00000019500/ENSRNOG00000042714/ENSRNOG00000040287/ENSRNOG00000017512/ENSRNOG00000060939/ENSRNOG00000049743/ENSRNOG00000017672/ENSRNOG00000012436/ENSRNOG00000003515	-1.911882714	0.012421002	0
KEGG	KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM	30	ENSRNOG00000034013/ENSRNOG00000019189/ENSRNOG00000024629/ENSRNOG00000013009/ENSRNOG00000064647/ENSRNOG00000037815/ENSRNOG00000014522/ENSRNOG00000050843/ENSRNOG00000013000/ENSRNOG00000005587/ENSRNOG00000015869/ENSRNOG00000005686/ENSRNOG00000011497/ENSRNOG00000002342/ENSRNOG00000004027/ENSRNOG00000014645/ENSRNOG00000002636/ENSRNOG00000009845/ENSRNOG00000004448	-1.826397575	0.012421002	0
KEGG	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	40	ENSRNOG00000066773/ENSRNOG00000019246/ENSRNOG00000019041/ENSRNOG00000018566/ENSRNOG00000000455/ENSRNOG00000021157/ENSRNOG00000060246/ENSRNOG00000033215/ENSRNOG00000002659/ENSRNOG00000026762/ENSRNOG00000032708/ENSRNOG00000049491/ENSRNOG00000018735	-1.86673171	0.013465739	0
KEGG	KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	159	ENSRNOG00000011073/ENSRNOG00000001170/ENSRNOG00000062473/ENSRNOG00000015583/ENSRNOG00000021150/ENSRNOG00000048562/ENSRNOG00000016452/ENSRNOG00000016660/ENSRNOG00000059061/ENSRNOG00000001991/ENSRNOG00000013505/ENSRNOG00000018117/ENSRNOG00000012956/ENSRNOG00000032134/ENSRNOG00000012944/ENSRNOG00000069121/ENSRNOG00000061684/ENSRNOG00000005413/ENSRNOG00000006375/ENSRNOG00000006901/ENSRNOG00000014625/ENSRNOG00000017571/ENSRNOG00000061543/ENSRNOG00000024309/ENSRNOG00000015320/ENSRNOG00000022980/ENSRNOG00000010830/ENSRNOG00000002840/ENSRNOG00000018281/ENSRNOG00000017032/ENSRNOG00000071176/ENSRNOG00000001596/ENSRNOG00000030237/ENSRNOG00000017817/ENSRNOG00000017446/ENSRNOG00000039980/ENSRNOG00000012457/ENSRNOG00000019439/ENSRNOG00000018526/ENSRNOG00000003163/ENSRNOG00000014078/ENSRNOG00000019851/ENSRNOG00000007104/ENSRNOG00000048812/ENSRNOG00000004526/ENSRNOG00000016952	-1.525675039	0.014110436	0
KEGG	KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	56	ENSRNOG00000009113/ENSRNOG00000012061/ENSRNOG00000028016/ENSRNOG00000000515/ENSRNOG00000060869/ENSRNOG00000026293/ENSRNOG00000001849/ENSRNOG00000001224/ENSRNOG00000014294/ENSRNOG00000024382/ENSRNOG00000046452/ENSRNOG00000000454/ENSRNOG00000001480/ENSRNOG00000013014/ENSRNOG00000002032/ENSRNOG00000009468/ENSRNOG00000013634/ENSRNOG00000004649/ENSRNOG00000010522/ENSRNOG00000066773/ENSRNOG00000012074/ENSRNOG00000019728/ENSRNOG00000006940/ENSRNOG00000033215/ENSRNOG00000026762/ENSRNOG00000032708/ENSRNOG00000049491/ENSRNOG00000021199/ENSRNOG00000007390	-1.751092289	0.014232077	0
KEGG	KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	103	ENSRNOG00000020230/ENSRNOG00000047307/ENSRNOG00000023428/ENSRNOG00000015654/ENSRNOG00000028504/ENSRNOG00000015773/ENSRNOG00000018706/ENSRNOG00000002032/ENSRNOG00000013170/ENSRNOG00000002568/ENSRNOG00000008759/ENSRNOG00000019075/ENSRNOG00000007270/ENSRNOG00000009468/ENSRNOG00000008444/ENSRNOG00000003990/ENSRNOG00000028629/ENSRNOG00000007002/ENSRNOG00000049828/ENSRNOG00000028594/ENSRNOG00000058856/ENSRNOG00000019742/ENSRNOG00000024390/ENSRNOG00000015068/ENSRNOG00000021218/ENSRNOG00000023664/ENSRNOG00000013963/ENSRNOG00000012074/ENSRNOG00000063373/ENSRNOG00000032973/ENSRNOG00000016308/ENSRNOG00000000529/ENSRNOG00000047647/ENSRNOG00000000187/ENSRNOG00000010278/ENSRNOG00000025371	-1.602392766	0.021372453	0
KEGG	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	103	ENSRNOG00000001224/ENSRNOG00000050430/ENSRNOG00000016592/ENSRNOG00000013324/ENSRNOG00000033217/ENSRNOG00000016490/ENSRNOG00000001480/ENSRNOG00000023428/ENSRNOG00000016695/ENSRNOG00000015852/ENSRNOG00000013014/ENSRNOG00000001068/ENSRNOG00000034254/ENSRNOG00000006860/ENSRNOG00000007922/ENSRNOG00000006604/ENSRNOG00000046007/ENSRNOG00000001926/ENSRNOG00000036701/ENSRNOG00000054495/ENSRNOG00000014333/ENSRNOG00000042848/ENSRNOG00000003654/ENSRNOG00000054172/ENSRNOG00000020679/ENSRNOG00000017980/ENSRNOG00000004414/ENSRNOG00000020246/ENSRNOG00000019728/ENSRNOG00000027839/ENSRNOG00000006940/ENSRNOG00000017645/ENSRNOG00000051986/ENSRNOG00000003622/ENSRNOG00000050071/ENSRNOG00000030889/ENSRNOG00000007350/ENSRNOG00000017539	-1.600507576	0.021372453	0
KEGG	KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM	35	ENSRNOG00000032908/ENSRNOG00000012966/ENSRNOG00000008474/ENSRNOG00000008755/ENSRNOG00000016265/ENSRNOG00000046357/ENSRNOG00000019189/ENSRNOG00000012443/ENSRNOG00000024629/ENSRNOG00000064647/ENSRNOG00000003307/ENSRNOG00000037815/ENSRNOG00000001177/ENSRNOG00000014254/ENSRNOG00000011497/ENSRNOG00000002342/ENSRNOG00000008843/ENSRNOG00000004027/ENSRNOG00000013766/ENSRNOG00000014645/ENSRNOG00000009845/ENSRNOG00000010800/ENSRNOG00000010697/ENSRNOG00000012436	-1.805976576	0.022116329	0
KEGG	KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	54	ENSRNOG00000001224/ENSRNOG00000069600/ENSRNOG00000056836/ENSRNOG00000000454/ENSRNOG00000057880/ENSRNOG00000001068/ENSRNOG00000000562/ENSRNOG00000034254/ENSRNOG00000011134/ENSRNOG00000017158/ENSRNOG00000012439/ENSRNOG00000012944/ENSRNOG00000003998/ENSRNOG00000036701/ENSRNOG00000066773/ENSRNOG00000020679/ENSRNOG00000001738/ENSRNOG00000019400/ENSRNOG00000017980/ENSRNOG00000033215/ENSRNOG00000010283/ENSRNOG00000026762/ENSRNOG00000032708/ENSRNOG00000049491/ENSRNOG00000007350	-1.696071708	0.02251569	0
KEGG	KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM	37	ENSRNOG00000019189/ENSRNOG00000005130/ENSRNOG00000011861/ENSRNOG00000024629/ENSRNOG00000019955/ENSRNOG00000064647/ENSRNOG00000003307/ENSRNOG00000037815/ENSRNOG00000011672/ENSRNOG00000011497/ENSRNOG00000002342/ENSRNOG00000003709/ENSRNOG00000004027/ENSRNOG00000014645/ENSRNOG00000019500/ENSRNOG00000040287/ENSRNOG00000050205/ENSRNOG00000010697/ENSRNOG00000011250	-1.76499405	0.026218732	0
